и, and
при́нтер, the printer
прися́жный, juror
приуро́чивать, timing
проверяться, checked
продвига́ть, promote
проигрыш, loss
прослеживаться, tracked
простуди́ться, cold
противовес, contrast
пу́зо, belly
пурга́, Blizzard
равви́н, Rabbi
радикал, radical
радист, radioman
раздражить, annoying
разрозненный, fragmented
раскладу́шка, bed
расколо́ть, to split
раскрасить, paint
рассчита́ться, pay
расшифровать, to decrypt
ревизия, revision
редколле́гия, the editorial Board
реконструировать, to reconstruct
розетка, outlet
самоопределе́ние, the determination
скомкать, bills
соблюсти́, to comply with
сова́ться, go
спекуля́ция, speculation
спутниковый, satellite
сторожи́ть, to guard
судейский, referee
трофе́йный, trophy
тряпочка, cloth
углуби́ться, to go
у́зы, ties
уйма, a lot
употребля́ться, used
усе́рдно, hard
усовершенствование, improvement
утрачивать, to lose
ухмыля́ться," ""hmmph"""
фло́ра, flora
фолькло́рный, folklore
цент, penny
чугун, cast iron
шалаш, the hut
шама́н, shaman
шатер, tent
шестна́дцатый, sixteenth
ширма, screen
шкатулка, box
шка́фчик, locker
шпана́, kids
шу́точка, joke
щу́ка, pike
экзо́тика, exotic
экспериментатор, the experimenter
экстреми́зм, extremism
адекватно, adequately
альфа, alpha
ассамбле́я, Assembly
аттестат, certificate
бант, bow
безмо́лвный, silent
беспреде́л, chaos
бо́цман, boatswain
бункер, bunker
варшавский, Warsaw
вбива́ть, to drive
вещание, broadcasting
вздор, nonsense
визи́тный, business
власти́тель, ruler
влюбленность, love
воздвигнуть, to rise
возмущенно, indignantly
восемьсо́т, eight hundred
воск, wax
воспи́танный, bred
восхити́тельный, delightful
враче́бный, medical
вредить, bruising
всеобъемлющий, comprehensive
выборочный, sample
выездно́й, exit
выи́скивать, find
вы́рыть, dig
гайка, nut
гармоничный, harmonious
гварде́йский, guards
герои́н, heroin
гибрид, hybrid
гильза, sleeve
глотну́ть, SIP
горя́чка, fever
гряда, ridge
диплома́тия, diplomacy
довезти́, to take
дове́риться, trust
доживать, live
допуск, admission
живучесть, survivability
жура́вль, crane
забеспоко́иться, to worry
закреплять, to fix
замета́ться, to samatata
замо́рский, overseas
запи́сываться, to enroll
затева́ть, to start
затяжной, prolonged
захло́пать, to clap their
звездолет, the spaceship
ива, willow
инфицировать, to infect
инъекция, injection
исцеление, healing
кара́ть, to punish
картографический, map
