и, and
вещмешок, the sack
взлетный, takeoff
виселица, hangman
вкусить, to taste
возбужденный, Horny
возводиться, to be erected
волновой, wave
воротить, turn
воссоединение, reunion
вслепую, blind
вывалить, beating
выволочь, to violaci
вылитый, spitting image
выплывать, to swim
высылка, expulsion
вытворять, do
вытеснение, eviction
выхлопной, exhaust
вьетнамец, Vietnamese
гармонический, harmonic
